date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:18	52055/52055	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	(from )
14:00:19	5251/5251	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Sep%202018%2012:00:19%20GMT	https://demos.creative-tim.com/robots.txt		(from )
14:00:19	2446/2446	---M--	200	added ('OK')	image/png	etag:%225b5f0075-98e%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:19	2761/2761	---M--	200	added ('OK')	image/png	etag:%225b5f0075-ac9%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/favicon.png	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:22	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%2242eaa52604673b64d6b356c2fd7f87e3%22	https://use.fontawesome.com/releases/v5.0.6/css/all.css	C:/xampp/htdocs/smartpark/template1/anpr/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:22	140931/140931	---M-Z	200	added ('OK')	text/css	etag:W/%225b5f0075-22683%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:23	276503/276503	---M-Z	200	added ('OK')	text/css	etag:W/%225b5f0075-43817%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/css/now-ui-dashboard.min.css?v=1.1.2	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/css/now-ui-dashboard.min69ea.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:23	785/785	---M-Z	200	added ('OK')	text/css	etag:W/%225b5f0075-311%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2025%20Sep%202018%2012:00:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/xampp/htdocs/smartpark/template1/anpr/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:23	77322/77322	---M--	200	added ('OK')	image/jpeg	etag:%225b5f0075-12e0a%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/james.jpg	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/james.jpg	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:24	158770/158770	---M--	200	added ('OK')	image/jpeg	etag:%2273a1b747c9f203ee2b287a4cafa8f0d5%22	https://s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	C:/xampp/htdocs/smartpark/template1/anpr/s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:24	26181/26181	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/pricing.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:24	55077/55077	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/rtl.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:25	43692/43692	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/timeline.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/timeline.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:25	24623/24623	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/login.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/login.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
14:00:26	27740/27740	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2012:11:33%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/register.html	C:/xampp/htdocs/smartpark/template1/anpr/demos.creative-tim.com/now-ui-dashboard-pro/examples/pages/register.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html)
